,Perioden,Opdrachtgever,Eigendom,Woningen_2,Wooneenheden_3,Recreatiewoningen_4
,,,,sum,sum,sum
139,2017-12-01,Andere particuliere opdrachtgevers,Koopwoningen,2132.0,0.0,37.0
140,2017-12-01,Bouwers voor de markt,Huurwoningen,3686.0,0.0,42.0
141,2017-12-01,Bouwers voor de markt,Koopwoningen,9409.0,0.0,30.0
142,2017-12-01,Overheid of woningcorporatie,Huurwoningen,1065.0,0.0,0.0
143,2017-12-01,Overheid of woningcorporatie,Koopwoningen,326.0,0.0,0.0
144,2018-03-01,Andere particuliere opdrachtgevers,Huurwoningen,74.0,16.0,9.0
145,2018-03-01,Andere particuliere opdrachtgevers,Koopwoningen,2227.0,0.0,44.0
146,2018-03-01,Bouwers voor de markt,Huurwoningen,4540.0,10.0,13.0
147,2018-03-01,Bouwers voor de markt,Koopwoningen,8360.0,0.0,357.0
148,2018-03-01,Overheid of woningcorporatie,Huurwoningen,1045.0,0.0,0.0
149,2018-03-01,Overheid of woningcorporatie,Koopwoningen,156.0,0.0,0.0
150,2018-06-01,Andere particuliere opdrachtgevers,Huurwoningen,47.0,0.0,7.0
151,2018-06-01,Andere particuliere opdrachtgevers,Koopwoningen,2183.0,0.0,39.0
152,2018-06-01,Bouwers voor de markt,Huurwoningen,2009.0,0.0,75.0
153,2018-06-01,Bouwers voor de markt,Koopwoningen,8086.0,0.0,33.0
154,2018-06-01,Overheid of woningcorporatie,Huurwoningen,1922.0,0.0,0.0
155,2018-06-01,Overheid of woningcorporatie,Koopwoningen,143.0,0.0,0.0
156,2018-09-01,Andere particuliere opdrachtgevers,Huurwoningen,175.0,0.0,11.0
157,2018-09-01,Andere particuliere opdrachtgevers,Koopwoningen,2268.0,0.0,58.0
158,2018-09-01,Bouwers voor de markt,Huurwoningen,2868.0,0.0,41.0
159,2018-09-01,Bouwers voor de markt,Koopwoningen,9156.0,0.0,179.0
160,2018-09-01,Overheid of woningcorporatie,Huurwoningen,1601.0,0.0,0.0
161,2018-09-01,Overheid of woningcorporatie,Koopwoningen,295.0,0.0,0.0
162,2018-12-01,Andere particuliere opdrachtgevers,Huurwoningen,221.0,0.0,6.0
163,2018-12-01,Andere particuliere opdrachtgevers,Koopwoningen,2050.0,0.0,33.0
164,2018-12-01,Bouwers voor de markt,Huurwoningen,5659.0,0.0,58.0
165,2018-12-01,Bouwers voor de markt,Koopwoningen,10101.0,0.0,225.0
166,2018-12-01,Overheid of woningcorporatie,Huurwoningen,1956.0,0.0,0.0
167,2018-12-01,Overheid of woningcorporatie,Koopwoningen,104.0,0.0,0.0
168,2019-03-01,Andere particuliere opdrachtgevers,Huurwoningen,209.0,0.0,6.0
169,2019-03-01,Andere particuliere opdrachtgevers,Koopwoningen,1869.0,0.0,36.0
170,2019-03-01,Bouwers voor de markt,Huurwoningen,2390.0,0.0,38.0
171,2019-03-01,Bouwers voor de markt,Koopwoningen,5836.0,0.0,58.0
172,2019-03-01,Overheid of woningcorporatie,Huurwoningen,2132.0,0.0,0.0
173,2019-03-01,Overheid of woningcorporatie,Koopwoningen,158.0,0.0,0.0
174,2019-06-01,Andere particuliere opdrachtgevers,Huurwoningen,24.0,0.0,13.0
175,2019-06-01,Andere particuliere opdrachtgevers,Koopwoningen,1950.0,0.0,22.0
176,2019-06-01,Bouwers voor de markt,Huurwoningen,1957.0,0.0,160.0
177,2019-06-01,Bouwers voor de markt,Koopwoningen,6682.0,0.0,67.0
178,2019-06-01,Overheid of woningcorporatie,Huurwoningen,2071.0,0.0,0.0
179,2019-06-01,Overheid of woningcorporatie,Koopwoningen,295.0,0.0,0.0
180,2019-09-01,Andere particuliere opdrachtgevers,Huurwoningen,122.0,0.0,11.0
181,2019-09-01,Andere particuliere opdrachtgevers,Koopwoningen,1981.0,0.0,63.0
182,2019-09-01,Bouwers voor de markt,Huurwoningen,2182.0,0.0,57.0
183,2019-09-01,Bouwers voor de markt,Koopwoningen,6580.0,0.0,59.0
184,2019-09-01,Overheid of woningcorporatie,Huurwoningen,1717.0,0.0,0.0
185,2019-09-01,Overheid of woningcorporatie,Koopwoningen,186.0,0.0,0.0
186,2019-12-01,Andere particuliere opdrachtgevers,Huurwoningen,79.0,0.0,2.0
187,2019-12-01,Andere particuliere opdrachtgevers,Koopwoningen,1835.0,0.0,21.0
188,2019-12-01,Bouwers voor de markt,Huurwoningen,4138.0,0.0,40.0
189,2019-12-01,Bouwers voor de markt,Koopwoningen,8979.0,0.0,263.0
190,2019-12-01,Overheid of woningcorporatie,Huurwoningen,2004.0,0.0,0.0
191,2019-12-01,Overheid of woningcorporatie,Koopwoningen,214.0,0.0,0.0
192,2020-03-01,Andere particuliere opdrachtgevers,Huurwoningen,81.0,0.0,8.0
193,2020-03-01,Andere particuliere opdrachtgevers,Koopwoningen,1835.0,0.0,48.0
194,2020-03-01,Bouwers voor de markt,Huurwoningen,2961.0,0.0,39.0
195,2020-03-01,Bouwers voor de markt,Koopwoningen,7012.0,0.0,85.0
196,2020-03-01,Overheid of woningcorporatie,Huurwoningen,2737.0,0.0,0.0
197,2020-03-01,Overheid of woningcorporatie,Koopwoningen,381.0,0.0,0.0
198,2020-06-01,Andere particuliere opdrachtgevers,Huurwoningen,45.0,0.0,6.0
199,2020-06-01,Andere particuliere opdrachtgevers,Koopwoningen,1820.0,3.0,49.0
200,2020-06-01,Bouwers voor de markt,Huurwoningen,2490.0,0.0,39.0
201,2020-06-01,Bouwers voor de markt,Koopwoningen,7175.0,0.0,51.0
202,2020-06-01,Overheid of woningcorporatie,Huurwoningen,2083.0,0.0,0.0
203,2020-06-01,Overheid of woningcorporatie,Koopwoningen,495.0,0.0,0.0
204,2020-09-01,Andere particuliere opdrachtgevers,Huurwoningen,48.0,0.0,1.0
205,2020-09-01,Andere particuliere opdrachtgevers,Koopwoningen,1806.0,0.0,36.0
206,2020-09-01,Bouwers voor de markt,Huurwoningen,3416.0,192.0,102.0
207,2020-09-01,Bouwers voor de markt,Koopwoningen,8021.0,0.0,75.0
208,2020-09-01,Overheid of woningcorporatie,Huurwoningen,1777.0,0.0,0.0
209,2020-09-01,Overheid of woningcorporatie,Koopwoningen,138.0,0.0,0.0
210,2020-12-01,Andere particuliere opdrachtgevers,Huurwoningen,51.0,0.0,12.0
211,2020-12-01,Andere particuliere opdrachtgevers,Koopwoningen,1876.0,0.0,59.0
212,2020-12-01,Bouwers voor de markt,Huurwoningen,4219.0,270.0,11.0
213,2020-12-01,Bouwers voor de markt,Koopwoningen,8923.0,0.0,100.0
214,2020-12-01,Overheid of woningcorporatie,Huurwoningen,1944.0,0.0,0.0
215,2020-12-01,Overheid of woningcorporatie,Koopwoningen,388.0,0.0,0.0
